市場,產品,香蕉_平均價,香蕉_交易量,香蕉_5日平均價格,香蕉_前1日平均價格,芭蕉_前1日平均價,芭樂_前1日平均價格
109 台北一,A1 香蕉,13.8,20654,13.439999999999989,13.2,14.3,15.0
109 台北一,A1 香蕉,14.0,29820,13.439999999999989,13.8,14.6,13.2
109 台北一,A1 香蕉,11.4,16935,13.07999999999999,14.0,20.3,14.4
109 台北一,A1 香蕉,12.3,22109,12.939999999999989,11.4,13.9,15.0
109 台北一,A1 香蕉,12.7,18123,12.83999999999999,12.3,13.8,13.3
109 台北一,A1 香蕉,12.5,20947,12.57999999999999,12.7,13.3,13.9
109 台北一,A1 香蕉,11.9,28419,12.159999999999991,12.5,17.1,13.8
109 台北一,A1 香蕉,11.6,24965,12.19999999999999,11.9,17.0,16.9
109 台北一,A1 香蕉,12.1,25245,12.159999999999991,11.6,14.9,18.6
109 台北一,A1 香蕉,12.1,21730,12.039999999999988,12.1,16.0,19.1
109 台北一,A1 香蕉,12.3,23113,11.99999999999999,12.1,16.3,17.9
109 台北一,A1 香蕉,12.8,24817,12.179999999999989,12.3,18.0,18.8
109 台北一,A1 香蕉,13.4,32470,12.539999999999988,12.8,22.1,20.5
109 台北一,A1 香蕉,13.3,29637,12.779999999999989,13.4,20.0,21.2
109 台北一,A1 香蕉,13.3,26400,13.01999999999999,13.3,20.7,20.2
109 台北一,A1 香蕉,12.1,28107,12.97999999999999,13.3,16.9,17.8
109 台北一,A1 香蕉,12.9,14952,12.999999999999991,12.1,16.7,17.4
109 台北一,A1 香蕉,12.8,22540,12.87999999999999,12.9,16.1,16.8
109 台北一,A1 香蕉,12.5,27885,12.71999999999999,12.8,14.5,17.8
109 台北一,A1 香蕉,13.5,24390,12.759999999999991,12.5,19.5,18.6
109 台北一,A1 香蕉,14.1,26323,13.159999999999991,13.5,20.8,18.4
109 台北一,A1 香蕉,13.0,24035,13.179999999999989,14.1,19.7,20.1
109 台北一,A1 香蕉,14.1,22366,13.439999999999989,13.0,22.9,22.2
109 台北一,A1 香蕉,14.9,25590,13.919999999999991,14.1,19.8,22.4
109 台北一,A1 香蕉,14.8,39154,14.179999999999989,14.9,21.7,23.7
109 台北一,A1 香蕉,14.9,29490,14.339999999999993,14.8,27.6,24.1
109 台北一,A1 香蕉,14.6,27525,14.659999999999991,14.9,20.8,24.2
