日期,市場,產品,上價,中價,下價,平均價(元/公斤),價格跟前一交易日比較%,交易量(公斤),交易量跟前一交易日比較%
100/01/21,800 高雄市,P1 番石榴 珍珠芭 ,44.4,31.8,25.0,32.9, -   ,1224, -   
100/01/21,241 三重區,P1 番石榴 珍珠芭 ,47.2,27.8,19.8,30.1, - 10,33398, + 29
100/01/21,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.5, -   ,280, +126
100/01/22,104 台北二,P1 番石榴 珍珠芭 ,69.5,37.6,15.3,39.5, + 27,8709, -  8
100/01/22,800 高雄市,P1 番石榴 珍珠芭 ,50.0,35.4,25.0,36.2, + 10,1046, - 15
100/01/22,400 台中市,P1 番石榴 珍珠芭 ,31.7,15.8,8.0,21.6, +  1,24371, + 32
100/01/22,109 台北一,P1 番石榴 珍珠芭 ,59.8,27.6,11.3,30.8, +  6,29600, +  2
100/01/22,600 嘉義市,P1 番石榴 珍珠芭 ,48.0,25.0,10.0,25.0, +  9,630, +  5
100/01/22,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.3, -   ,235, - 16
100/01/22,241 三重區,P1 番石榴 珍珠芭 ,44.7,27.0,20.6,29.2, -  3,29734, - 11
100/01/23,109 台北一,P1 番石榴 珍珠芭 ,58.3,26.3,12.0,29.9, -  3,32435, + 10
100/01/23,104 台北二,P1 番石榴 珍珠芭 ,63.7,33.7,15.8,36.1, -  9,14190, + 63
100/01/23,800 高雄市,P1 番石榴 珍珠芭 ,35.0,29.5,25.0,29.7, - 18,256, - 76
100/01/23,400 台中市,P1 番石榴 珍珠芭 ,47.0,19.2,8.3,22.5, +  4,24740, +  2
100/01/23,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.5, -   ,224, -  5
100/01/23,241 三重區,P1 番石榴 珍珠芭 ,45.2,26.1,18.8,28.5, -  2,36414, + 22
100/01/23,600 嘉義市,P1 番石榴 珍珠芭 ,46.0,26.0,12.0,26.0, +  4,810, + 29
100/01/24,600 嘉義市,P1 番石榴 珍珠芭 ,46.0,25.0,12.0,25.0, -  4,690, - 15
100/01/25,930 台東市,P1 番石榴 珍珠芭 ,45.0,40.0,20.0,40.3, -   ,253, + 13
100/01/25,241 三重區,P1 番石榴 珍珠芭 ,46.1,26.1,21.0,29.1, +  2,31565, - 13
100/01/25,800 高雄市,P1 番石榴 珍珠芭 ,35.0,26.5,21.8,27.3, -  8,1618, +532
100/01/25,600 嘉義市,P1 番石榴 珍珠芭 ,40.0,21.0,8.0,21.0, - 16,840, + 22
100/01/25,104 台北二,P1 番石榴 珍珠芭 ,57.2,28.4,9.8,30.5, - 16,11994, - 15
100/01/25,109 台北一,P1 番石榴 珍珠芭 ,51.0,19.8,8.5,23.8, - 20,40609, + 25
100/01/25,400 台中市,P1 番石榴 珍珠芭 ,32.5,17.1,9.3,22.3, -  1,31272, + 26
100/01/26,930 台東市,P1 番石榴 珍珠芭 ,40.0,35.0,20.0,35.6, - 12,247, -  2
100/01/26,109 台北一,P1 番石榴 珍珠芭 ,46.2,16.6,6.9,20.6, - 13,31248, - 23
100/01/26,800 高雄市,P1 番石榴 珍珠芭 ,30.0,30.0,20.8,28.2, +  3,49, - 97
100/01/26,600 嘉義市,P1 番石榴 珍珠芭 ,37.0,18.0,6.0,18.0, - 14,660, - 21
100/01/26,241 三重區,P1 番石榴 珍珠芭 ,44.4,24.4,17.3,27.0, -  7,31902, +  1
100/01/26,400 台中市,P1 番石榴 珍珠芭 ,28.5,12.4,4.9,17.9, - 20,21390, - 32
100/01/26,104 台北二,P1 番石榴 珍珠芭 ,63.0,28.4,10.1,31.7, +  4,10966, -  9
100/01/27,800 高雄市,P1 番石榴 珍珠芭 ,20.0,20.0,20.0,20.0, - 29,180, +267
100/01/27,241 三重區,P1 番石榴 珍珠芭 ,39.0,23.8,15.6,25.2, -  7,29816, -  7
100/01/27,600 嘉義市,P1 番石榴 珍珠芭 ,33.0,17.0,6.0,17.0, -  6,560, - 15
100/01/27,930 台東市,P1 番石榴 珍珠芭 ,40.0,35.0,20.0,35.7, -   ,270, +  9
100/01/27,104 台北二,P1 番石榴 珍珠芭 ,58.0,22.8,9.8,27.2, - 14,10890, -  1
100/01/27,109 台北一,P1 番石榴 珍珠芭 ,41.4,15.4,6.2,18.8, -  9,27138, - 13
100/01/27,400 台中市,P1 番石榴 珍珠芭 ,28.4,14.9,7.0,17.4, -  3,23892, + 12
100/01/28,241 三重區,P1 番石榴 珍珠芭 ,36.7,21.6,14.5,23.2, -  8,26453, - 11
100/01/28,104 台北二,P1 番石榴 珍珠芭 ,46.1,20.1,9.6,23.2, - 15,9971, -  8
100/01/28,930 台東市,P1 番石榴 珍珠芭 ,40.0,35.0,20.0,35.5, -  1,241, - 11
100/01/28,800 高雄市,P1 番石榴 珍珠芭 ,40.0,39.2,30.0,37.5, + 88,400, +122
100/01/28,600 嘉義市,P1 番石榴 珍珠芭 ,38.0,18.0,6.0,18.0, +  6,500, - 11
100/01/28,400 台中市,P1 番石榴 珍珠芭 ,25.9,11.0,4.1,15.7, - 10,23823, -   
100/01/28,109 台北一,P1 番石榴 珍珠芭 ,43.0,15.6,7.4,19.4, +  3,23730, - 13
100/01/29,600 嘉義市,P1 番石榴 珍珠芭 ,33.0,17.0,5.0,17.0, -  6,870, + 74
100/01/29,104 台北二,P1 番石榴 珍珠芭 ,46.4,19.4,9.4,22.8, -  2,13329, + 34
100/01/29,241 三重區,P1 番石榴 珍珠芭 ,31.0,17.3,12.4,19.1, - 18,33968, + 28
100/01/29,930 台東市,P1 番石榴 珍珠芭 ,40.0,35.0,20.0,35.6, -   ,269, + 12
100/01/29,400 台中市,P1 番石榴 珍珠芭 ,21.8,10.8,4.3,13.9, - 11,33483, + 41
100/01/29,109 台北一,P1 番石榴 珍珠芭 ,41.9,15.7,5.2,18.8, -  3,30082, + 27
100/01/29,800 高雄市,P1 番石榴 珍珠芭 ,30.0,24.7,20.0,24.8, - 34,669, + 67
100/01/30,830 鳳山區,P1 番石榴 珍珠芭 ,30.1,24.3,20.0,24.3, -   ,10810, -   
100/01/30,400 台中市,P1 番石榴 珍珠芭 ,24.2,13.5,6.0,14.1, +  1,24832, - 26
100/01/30,241 三重區,P1 番石榴 珍珠芭 ,31.5,15.7,10.6,17.8, -  7,25430, - 25
100/01/30,104 台北二,P1 番石榴 珍珠芭 ,49.3,21.6,8.9,24.6, +  8,8546, - 36
100/01/30,930 台東市,P1 番石榴 珍珠芭 ,40.0,35.0,20.0,35.7, -   ,299, + 11
100/01/30,109 台北一,P1 番石榴 珍珠芭 ,50.4,18.3,5.8,22.2, + 18,24176, - 20
100/01/30,600 嘉義市,P1 番石榴 珍珠芭 ,40.0,22.0,10.0,22.0, + 29,990, + 14
100/01/30,800 高雄市,P1 番石榴 珍珠芭 ,30.0,27.3,20.3,26.4, +  6,530, - 21
100/01/31,930 台東市,P1 番石榴 珍珠芭 ,40.0,35.0,20.0,35.6, -   ,670, +124
100/01/31,104 台北二,P1 番石榴 珍珠芭 ,56.3,26.6,12.1,29.6, + 20,5980, - 30
100/01/31,109 台北一,P1 番石榴 珍珠芭 ,75.9,33.1,11.6,37.4, + 68,13502, - 44
100/01/31,400 台中市,P1 番石榴 珍珠芭 ,23.4,14.8,9.0,15.5, + 10,7414, - 70
100/01/31,600 嘉義市,P1 番石榴 珍珠芭 ,40.0,25.0,10.0,25.0, + 14,1110, + 12
100/01/31,241 三重區,P1 番石榴 珍珠芭 ,36.1,12.8,10.9,17.1, -  4,19872, - 22
100/02/01,104 台北二,P1 番石榴 珍珠芭 ,54.0,26.9,15.5,30.0, +  1,9967, + 67
100/02/01,241 三重區,P1 番石榴 珍珠芭 ,45.9,15.6,10.0,20.6, + 20,20659, +  4
100/02/01,400 台中市,P1 番石榴 珍珠芭 ,47.5,15.7,8.6,16.8, +  8,21116, +185
100/02/01,930 台東市,P1 番石榴 珍珠芭 ,40.0,35.0,20.0,35.4, -  1,798, + 19
100/02/01,800 高雄市,P1 番石榴 珍珠芭 ,25.0,25.0,25.0,25.0, -   ,126, -   
100/02/01,109 台北一,P1 番石榴 珍珠芭 ,65.0,34.3,16.8,37.0, -  1,24684, + 83
100/02/01,600 嘉義市,P1 番石榴 珍珠芭 ,42.0,25.0,10.0,25.0, -   ,1050, -  5
100/02/02,400 台中市,P1 番石榴 珍珠芭 ,29.3,15.1,8.0,12.9, - 23,12848, - 39
100/02/02,930 台東市,P1 番石榴 珍珠芭 ,40.0,35.0,20.0,35.3, -   ,432, - 46
100/02/02,109 台北一,P1 番石榴 珍珠芭 ,42.4,17.0,6.8,20.1, - 46,21833, - 12
100/02/02,104 台北二,P1 番石榴 珍珠芭 ,59.3,26.2,12.5,30.1, -   ,7264, - 27
100/02/02,241 三重區,P1 番石榴 珍珠芭 ,55.7,24.6,11.7,28.2, + 37,10205, - 51
100/02/08,104 台北二,P1 番石榴 珍珠芭 ,34.7,16.3,7.8,18.3, - 39,31929, +340
100/02/08,600 嘉義市,P1 番石榴 珍珠芭 ,33.0,20.0,10.0,20.0, - 20,1200, + 14
100/02/08,109 台北一,P1 番石榴 珍珠芭 ,32.8,17.5,8.5,18.8, -  6,59245, +171
100/02/08,800 高雄市,P1 番石榴 珍珠芭 ,30.0,25.4,20.0,25.3, -   ,545, -   
100/02/08,241 三重區,P1 番石榴 珍珠芭 ,36.0,20.1,14.5,22.2, - 21,53721, +426
100/02/08,400 台中市,P1 番石榴 珍珠芭 ,22.3,15.1,8.9,16.6, + 29,41708, +225
100/02/09,600 嘉義市,P1 番石榴 珍珠芭 ,25.0,17.0,10.0,17.0, - 15,1140, -  5
100/02/09,104 台北二,P1 番石榴 珍珠芭 ,29.4,15.4,8.3,16.8, -  8,25365, - 21
100/02/09,400 台中市,P1 番石榴 珍珠芭 ,22.1,12.3,5.2,14.2, - 14,37599, - 10
100/02/09,241 三重區,P1 番石榴 珍珠芭 ,28.3,17.2,12.4,18.4, - 17,58039, +  8
100/02/09,930 台東市,P1 番石榴 珍珠芭 ,40.0,35.0,20.0,35.2, -   ,312, - 28
100/02/09,109 台北一,P1 番石榴 珍珠芭 ,27.8,12.6,4.8,14.1, - 25,54622, -  8
100/02/09,800 高雄市,P1 番石榴 珍珠芭 ,33.1,22.7,15.0,23.2, -  8,1018, + 87
100/02/10,600 嘉義市,P1 番石榴 珍珠芭 ,20.0,15.0,10.0,15.0, - 12,720, - 37
100/02/10,400 台中市,P1 番石榴 珍珠芭 ,21.0,8.0,3.7,13.0, -  8,36746, -  2
100/02/10,800 高雄市,P1 番石榴 珍珠芭 ,35.0,27.8,17.6,27.2, + 17,850, - 17
100/02/10,241 三重區,P1 番石榴 珍珠芭 ,23.0,13.7,9.5,14.7, - 20,51604, - 11
100/02/10,930 台東市,P1 番石榴 珍珠芭 ,35.0,30.0,20.0,30.3, - 14,337, +  8
100/02/10,109 台北一,P1 番石榴 珍珠芭 ,25.4,10.9,4.6,12.5, - 11,35311, - 35
100/02/10,830 鳳山區,P1 番石榴 珍珠芭 ,30.1,23.9,20.0,23.9, -   ,11930, -   
100/02/10,104 台北二,P1 番石榴 珍珠芭 ,29.8,17.0,8.2,17.8, +  6,16776, - 34
100/02/11,104 台北二,P1 番石榴 珍珠芭 ,33.0,18.8,8.8,19.6, + 10,11943, - 29
100/02/11,241 三重區,P1 番石榴 珍珠芭 ,22.6,11.6,9.5,13.4, -  9,40826, - 21
100/02/11,930 台東市,P1 番石榴 珍珠芭 ,35.0,30.0,20.0,30.4, -   ,263, - 22
100/02/11,800 高雄市,P1 番石榴 珍珠芭 ,39.8,30.1,23.5,30.7, + 13,1418, + 67
100/02/11,600 嘉義市,P1 番石榴 珍珠芭 ,20.0,15.0,10.0,15.0, -   ,500, - 31
100/02/11,400 台中市,P1 番石榴 珍珠芭 ,21.7,11.0,4.4,12.7, -  2,18225, - 50
100/02/11,109 台北一,P1 番石榴 珍珠芭 ,31.6,12.9,5.9,15.2, + 22,24561, - 30
100/02/12,241 三重區,P1 番石榴 珍珠芭 ,26.4,12.7,10.1,14.9, + 11,30508, - 25
100/02/12,104 台北二,P1 番石榴 珍珠芭 ,36.8,22.2,12.1,23.1, + 18,12604, +  6
100/02/12,930 台東市,P1 番石榴 珍珠芭 ,35.0,30.0,20.0,30.6, +  1,199, - 24
100/02/12,400 台中市,P1 番石榴 珍珠芭 ,20.5,11.2,6.0,12.4, -  2,30186, + 66
