日期,市場,產品,上價,中價,下價,平均價(元/公斤),平均價_跟前一交易日比較%,交易量(公斤),交易量_跟前一交易日比較%
100/07/31,104 台北二  ,T1 西瓜 大西瓜 ,20.2,9.8,7.0,11.3,    0,"1,674", - 89
100/08/02,104 台北二  ,T1 西瓜 大西瓜 ,17.1,10.6,6.9,11.2, -  1,"13,995", +736
100/08/03,104 台北二  ,T1 西瓜 大西瓜 ,16.2,7.0,7.0,8.8, - 21,"19,508", + 39
100/08/04,104 台北二  ,T1 西瓜 大西瓜 ,10.6,7.0,7.0,7.7, - 13,"12,544", - 36
100/08/06,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.7,7.0,11.8,  -  ,"23,929",  -  
100/08/07,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.6,6.9,11.1, -  6,"12,477", - 48
100/08/09,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.3,7.0,11.0, -  1,"10,740", - 14
100/08/10,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,6.8,12.0, +  9,"8,436", - 21
100/08/11,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.8,7.0,11.3, -  6,"17,089", +103
100/08/12,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.7,6.9,11.8, +  4,"16,965", -  1
100/08/13,104 台北二  ,T1 西瓜 大西瓜 ,17.0,11.7,6.9,11.8,    0,"22,562", + 33
100/08/14,104 台北二  ,T1 西瓜 大西瓜 ,14.7,10.0,9.0,10.7, -  9,"1,814", - 92
100/08/17,104 台北二  ,T1 西瓜 大西瓜 ,13.6,8.8,7.6,9.5, - 11,"2,321", + 28
100/08/18,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0, + 79,293, - 87
100/08/19,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0, - 29,"8,850", +999
100/08/20,104 台北二  ,T1 西瓜 大西瓜 ,8.0,7.0,7.0,7.2, - 40,210, - 98
100/08/21,104 台北二  ,T1 西瓜 大西瓜 ,14.0,13.8,10.0,13.1, + 82,78, - 63
100/08/23,104 台北二  ,T1 西瓜 大西瓜 ,6.0,6.0,6.0,6.0, - 54,190, +144
100/08/24,104 台北二  ,T1 西瓜 大西瓜 ,5.0,5.0,5.0,5.0, - 17,428, +125
100/08/25,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0, +140,"1,650", +286
100/08/26,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.4,7.0,11.1, -  8,"9,870", +498
100/08/28,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,  -  ,"4,170",  -  
100/08/30,104 台北二  ,T1 西瓜 大西瓜 ,7.0,7.0,7.0,7.0, - 42,"5,320", + 28
100/08/31,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0, +143,121, - 98
100/09/02,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,  -  ,"10,234",  -  
100/09/03,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,    0,"10,430", +  2
100/09/04,104 台北二  ,T1 西瓜 大西瓜 ,14.0,14.0,14.0,14.0, + 17,340, - 97
100/09/06,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.8,7.0,11.3, - 19,"9,880", +999
100/09/07,104 台北二  ,T1 西瓜 大西瓜 ,17.0,10.4,7.0,11.1, -  2,"11,800", + 19
100/09/09,104 台北二  ,T1 西瓜 大西瓜 ,12.8,7.0,7.0,8.2,  -  ,"10,883",  -  
100/09/12,104 台北二  ,T1 西瓜 大西瓜 ,12.4,11.0,9.1,10.9,  -  ,"1,498",  -  
100/09/16,104 台北二  ,T1 西瓜 大西瓜 ,17.0,14.7,14.0,15.0,  -  ,118,  -  
100/09/17,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0, - 20,"2,490", +999
100/09/18,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0, + 42,40, - 98
100/09/20,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0,    0,40,    0
100/09/23,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,  -  ,"1,083",  -  
100/09/25,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,  -  ,307,  -  
100/09/27,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,    0,"1,280", +317
100/09/28,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0, + 42,36, - 97
100/09/29,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0, - 29,690, +999
100/09/30,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,    0,827, + 20
100/10/01,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,    0,264, - 68
100/10/02,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,    0,"5,650", +999
100/10/04,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.1,7.0,12.1, +  1,"3,447", - 39
100/10/05,104 台北二  ,T1 西瓜 大西瓜 ,7.0,7.0,7.0,7.0, - 42,850, - 75
100/10/08,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0,  -  ,40,  -  
100/10/09,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0, - 29,"5,160", +999
100/10/11,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.1,7.0,12.1, +  1,"4,366", - 15
100/10/12,104 台北二  ,T1 西瓜 大西瓜 ,8.0,7.8,7.0,7.7, - 36,245, - 94
100/10/13,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0, +121,18, - 93
100/10/16,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0,  -  ,45,  -  
100/10/18,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0,    0,27, - 40
100/10/19,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0, - 29,"9,900", +999
100/10/22,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0,  -  ,45,  -  
100/10/25,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,  -  ,"5,770",  -  
100/10/27,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,  -  ,"1,770",  -  
100/10/28,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,    0,"10,690", +504
100/10/30,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,  -  ,"2,210",  -  
100/11/02,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0,  -  ,18,  -  
100/11/05,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,  -  ,"9,660",  -  
100/11/08,104 台北二  ,T1 西瓜 大西瓜 ,10.0,10.0,10.0,10.0,  -  ,350,  -  
100/11/09,104 台北二  ,T1 西瓜 大西瓜 ,17.0,17.0,17.0,17.0, + 70,21, - 94
100/11/13,104 台北二  ,T1 西瓜 大西瓜 ,17.0,12.0,7.0,12.0,  -  ,"5,230",  -  
100/11/19,104 台北二  ,T1 西瓜 大西瓜 ,7.0,7.0,7.0,7.0,  -  ,685,  -  
